,text,target
0,"A 4 . 6 magnitude  # earthquake occured at 149 km NNW of Tobelo, Indonesia .  See the full report at : … ",1
1,"A 2 . 7 magnitude  # earthquake occured at 18 km E of Naalehu, Hawaii .  See the full report at :   ",1
2,@ Naija_PR  @ Abusengz shock me with size 42 .,0
3,"雀騒然の夕ぐれ出て旅へ
a sparrow makes a commotion at dusk and goes on a journey  /  shinko tokizane  # senryu",0
4,@ gbonjboy2 😂😂e shock you,0
5,@ aweedramortwo This train has been delayed by passengers causing a disturbance on this train .  We ' ll get the train m…,0
6,"A 2 . 2 magnitude  # earthquake occured at 2 km WSW of Indios, Puerto Rico .  See the full report at : … ",1
7,"SW Scotland, Lothian and Borders  -  YELLOW Weather Alert, Wintry showers bringing further disruption from ice and snow .    # TSWeatherAlert",0
8,"Strathclyde  -  YELLOW Weather Alert, Wintry showers bringing further disruption from ice and snow .    # TSWeatherAlert",0
9,The quake occurred around 13 : 06 p . m .  local time  ( 0606 GMT )  .  The quake was revised down from an initial magnitude of…,1
10,Disappear .  Improve .  Return .  Shock everyone .,0
11," @ Usingtechbetter Per your email - is ChatGTP freaking you out too ? 
No .  No it is not .  I spent several lessons last yea… ",0
12,"A 5 . 5 magnitude  # earthquake occured at 143 km NW of Tobelo, Indonesia .  See the full report at : … ",1
13,5 . 37 earthquake occurred near Northern Molucca Sea at 08 : 01 UTC !   # earthquake  # NorthernMoluccaSea,1
14,I’m in shock still learning that Jay Briscoe has passed away .  Undoubtly he was part of one of the greatest tag team…,0
15,@ SteveBarclay  @ HolocaustUK Shame Braverman does not  show the same kind of respect .  do not talk about disruption to p…,0
16,"Ken Bruce  .  .  .  is leaving Radio 2

 : shock :   : horror :   😱😱😱
 # KenBruce ",0
17,"Central, Tayside and Fife  -  YELLOW Weather Alert, Further wintry showers bringing disruption from ice and snow .    # TSWeatherAlert",0
18,"Highland and Western Isles  -  YELLOW Weather Alert, Further wintry showers bringing disruption from ice and snow .    # TSWeatherAlert",0
19,shock e blm selese anjir,0
20,"Fugitive ' s arrest like a  ' quake, '  but Mafia very resilient ",0
21,"Humza Yousaf has said his Government “is investigating further”, after a shock report showed Scots are three times… ",0
22,4 . 4 earthquake occurred 59km al O de Tongoy at 07 : 29 UTC !   # earthquake,1
23,"Humza Yousaf has said his Government “is investigating further”, after a shock report showed Scots are three times… ",0
24,"A 2 . 7 magnitude  # earthquake occured at 24km NNW of Tehachapi, CA .  See the full report at :   ",1
25,We are currently investigating reports of an interruption to water supplies for customers in  # Hamilton  # ML3 .  A furt…,0
26,"A 4 . 8 magnitude  # earthquake occured at 159 km NW of Tobelo, Indonesia .  See the full report at : … ",1
27,"A 2 . 0 magnitude  # earthquake occured at 11km NNW of Cholame, CA .  See the full report at :   ",1
28,4 . 0 earthquake occurred near Molucca Sea at 07 : 18 UTC !   # earthquake  # MoluccaSea,1
29,4 . 5 earthquake occurred near Molucca Sea at 07 : 20 UTC !   # earthquake  # MoluccaSea,1
30," @ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying Unlike you, I am a farmer and I know that this has nothing to… ",0
31,"A 2 . 1 magnitude  # earthquake occured at 67 km N of Petersville, Alaska .  See the full report at : … ",1
