,text,target
2010,"Going to try and sleep now .  But live near the water, entirely possible tsunami sirens may go off still Pretty sure itll be ok though .   # eqnz",0.0
2687,Assessing damage and checking on friends .  Thoughts with those worse affected .   # eqnz,0.0
3812,RT  @ taeismyybae :  I hope everyone is safe .  YA ALLAH MADAD  # earthquake,0.0
6609,DONATE to  # Ecuador Red Cross  @ CruzRojaEcuador  @ ammado fundraiser to help earthquake victims by clicking here  Thanks . ,0.0
5828,RT  @ SarahKMoser :   @ Oxfam is collecting donations to assist Ecuador after 7 . 8 magnitude earthquake,0.0
3427, @ atizaztariqkhan  @ AlarmaDita  @ farooq_pm ·There is strong appeal from the federal government and the AJK government to provide good facilities to those who were injured in the earthquake .  And Provide money to rebuild those whose homes have been destroyed .   # earthquake,0.0
576,Owner of Chicago  -  Area Gay Bar Admits to Arson Scheme    #  LGBT   |   ,0.0
4522," @ unitlostgaming Sty, please talk with your audience, if somebody can send help to Mexico would be great, the earthquake has been terrible",0.0
6594,"RT  @ jaeeccc_ :  Praying for Ecuador,God bless them .   # earthquake",0.0
5074,Awesome Rescue Dog Has Rescued 52 Lives From The Earthquake in Mexico  -  wordsnquotes :  culturenlifestyle : ,0.0
4617,Tocaya Organica restaurant has organized an event to help Model Citizen Funds earthquake relief efforts in Mexico . ἰD,0.0
1569,Thoughts with  # Italy today after the  # ItalyEarthquake .  Very glad  @ deriveinspo is okay . ,0.0
6311,RT  @ RiaFinancial :  Those affected by the earthquake in Ecuador are in our hearts . ,0.0
1943,"Post  # eqnz update :  Red Cross drop in centre at Red Cross Rooms, Blenheim 10am - 5pm Mon - Fri for support and a cuppa : ",0.0
4855, @ Vikings  @ RandyMoss  # EarthquakeMexico  # VikingsArroundTheWorld How to help earthquake victims in Mexico  @ CNNI,0.0
5659, @ tim_cook Make donations to Red Cross Ecuador available through App Store . ,0.0
5442,"RT  @ telesurenglish :  Just a day earlier, a Ecuadorean solidarity brigade shipped donations to Mexico’s earthquake victims . ",0.0
2353,Hope everyones ok after last nights  # earthquake .  Weve been experiencing some  # aftershocks in  # Wellington .  Stay safe everyone .   # eqnz,0.0
5890,RT  @ ElisaEstrada :   # Canoa  # fishingvillage need of heavy machinery  # CAT 2  # rescue  # people  # Trapped under  # debris from  # Quake  # Ecuador unde,0.0
5064,RT  @ wallyreyesjr :  So sad to hear of this !  My heart goes out for the people of  # MexicoCity and  # Puebla ὤFἿC # MexicoCityearthquake  / ,0.0
165, There was a small earthquake in LA but do not worry Emmy Rossum is fine  ' ,0.0
2734,"Our thoughts are with everyone in New Zealand right now, please stay safe and look after one another . ",0.0
3113,"May Allah keep everyone safe in Pakistan  &  India, just saw the news of this massive  # Earthquake which effected major parts of both countries . ",0.0
899,"RT  @ fedhere :  How To Help Italy Earthquake Victims :  8 Ways to donate, if you are in Italy or abroad  # terremoto  # ItalyEarthquake",0.0
5136,"After the earthquake and see that countrys like Japan, Germany, Peru, Panama, sends rescuers to help I just want to say Thanks, Mexico",0.0
862,Correa :  We are prioritizing rescuing efforts in the most affected areas .   # EcuadorEarthquake,0.0
867,RT  @ AllAccesstoSM :  not from Italy but  # PrayForItaly my heart goes out to everyone whos been affected .  ὤFἿC,0.0
71,"1  /  2 Oh Oprah what have you caused  ?   You want to be the first to interview them clouded your judgment, but you Shock… ",0.0
3887,Any news from IOK ?  Plz pray for them  # earthquake,0.0
3285,More news from AJK .  The earthquake caused havoc to people and infrastructure .  Billions will be needed for rehabilitation .  Feared this while we were going through those 15 seconds when the earth was shaking yesterday .  My prayers for the departed souls  # Pakistan  # Kashmir,0.0
370,  @  LeoBlakeCarter  :   This dog thinks he is an ambulance   ?    ?    ?    ?    ?    ?     @  natasha_rideout,0.0
2389, # eqnz as a couple of shakes in quick succession .  Was very strong north of Christchurch .  My thoughts with everyone,0.0
1499,RT  @ Kat_McNamara :  My thoughts and prayers go out to all those affected by the  # ItalyEarthquake .  Stay safe and hold your loved ones close .  ❤️,0.0
425,  @  TheEllenShow Please check into Salt River horses help stop the annihilation about to happen without 54000 more signatures  .  change   .  org Thx,0.0
5871,Probably nobody knows where is Ecuador !  But we need HELP !  !  !  ὤFἿCὤFἿCὤFἿC  # EcuadorEarthquake ὉBὉBὉ9❤️,0.0
1474,RT  @ fabiodelton :   # UniCreditTower has been lit up to honor victims of  # earthquake in Italy  # prayforitaly,0.0
2694,Our thoughts are with all those affected by the recent earthquakes in New Zealand ἟3἟F .  Stay safe  # NZ ὉC  # eqnz,0.0
435,Stop the Annihilation of the Salt River Wild Horses  !    via   @  Change,0.0
1894,RT  @ australian :  NZ earthquake :  All Blacks legend - Richie McCaw joins rescue efforts  # eqnz,0.0
5461,"Following earthquake, Mexico City galleries rally to assist .  Information on how to donate here : ",0.0
3283,"Always remember, human still dont have the technology to predict  # earthquakes .  So, do not believe in fake stories or notices about the next  # earthquake .  After watching the graphic videos of Mirpur incident, lets just pray for the people of Mirpur with unity . 1 / 2",0.0
2039,Our Wellington office will be closed today due to  # eqnz .  Stay safe everyone,0.0
658,Once again black men did not make it that way  .   White men did so why are black men getting attacked  ,0.0
3699, @ cyalm Grow up man .  Stop settling your dirty scores at the cost of  # earthquake victims that too from  # Kashmir .  Save little dignity if any left with you . ,0.0
3847,May ALLAH help us  !   # earthquake,0.0
637,  #  volleyball Attack II Volleyball Training Machine   -   Sets Simulation   -    ,0.0
363,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT   |   eBay ,0.0
5283,Please we need your help !  !  ὤFἿCὤFἿC  # mexico  # help  # sos  # donative  # donate  # earthquake  # earth  # quake,0.0
3880,Most important thing right now are the people trapped under the rubble .  Their lives depend on the efforts of the rescuers outside .  Remember the 13 year old Sadiq made his way out of Margalla towers rubble after 3 days .   # earthquake,0.0
980,RT  @ lookatf :   # EDMFamily send an SMS to donate 2€ for  # ItalyEarthquake  # TerremotoItalia  # PrayForItaly text to 45500,0.0
4556,Heres a list of verified GoFundMe campaigns for victims of Mexicos earthquakes : ,0.0
1311,for donations from outside Italy .  Can you RT please ?  Thank you .   @ KseniaSolo  @ sashaalexander  # ItalyEarthquake,0.0
5996,Latin America Shows Solidarity with Ecuador Quake Victims,0.0
1733,Our thoughts go out to all those affected by the New Zealand earthquake overnight .  Important advice : ,0.0
1078,RT  @ foodiamo :  Lots of restaurants doing  # amatriciana for  # ItalyEarthquake relief .  Bravi !    @ elyseinamine,0.0
5191,RT  @ SeDibujanTuits :  Help Mexico’s earthquake victims with your donations to Los Topos ὤF,0.0
