,text,target
0,"A 4 . 6 magnitude  # earthquake occured at 149 km NNW of Tobelo, Indonesia .  See the full report at : … ",1.0
1,"A 2 . 7 magnitude  # earthquake occured at 18 km E of Naalehu, Hawaii .  See the full report at :   ",1.0
2,@ Naija_PR  @ Abusengz shock me with size 42 .,0.0
3,"雀騒然の夕ぐれ出て旅へ
a sparrow makes a commotion at dusk and goes on a journey  /  shinko tokizane  # senryu",0.0
4,@ gbonjboy2 😂😂e shock you,0.0
5,@ aweedramortwo This train has been delayed by passengers causing a disturbance on this train .  We ' ll get the train m…,0.0
6,"A 2 . 2 magnitude  # earthquake occured at 2 km WSW of Indios, Puerto Rico .  See the full report at : … ",1.0
7,"SW Scotland, Lothian and Borders  -  YELLOW Weather Alert, Wintry showers bringing further disruption from ice and snow .    # TSWeatherAlert",0.0
8,"Strathclyde  -  YELLOW Weather Alert, Wintry showers bringing further disruption from ice and snow .    # TSWeatherAlert",0.0
9,The quake occurred around 13 : 06 p . m .  local time  ( 0606 GMT )  .  The quake was revised down from an initial magnitude of…,1.0
10,Disappear .  Improve .  Return .  Shock everyone .,0.0
11," @ Usingtechbetter Per your email - is ChatGTP freaking you out too ? 
No .  No it is not .  I spent several lessons last yea… ",0.0
12,"A 5 . 5 magnitude  # earthquake occured at 143 km NW of Tobelo, Indonesia .  See the full report at : … ",1.0
13,5 . 37 earthquake occurred near Northern Molucca Sea at 08 : 01 UTC !   # earthquake  # NorthernMoluccaSea,1.0
14,I’m in shock still learning that Jay Briscoe has passed away .  Undoubtly he was part of one of the greatest tag team…,0.0
15,@ SteveBarclay  @ HolocaustUK Shame Braverman does not  show the same kind of respect .  do not talk about disruption to p…,0.0
16,"Ken Bruce  .  .  .  is leaving Radio 2

 : shock :   : horror :   😱😱😱
 # KenBruce ",0.0
17,"Central, Tayside and Fife  -  YELLOW Weather Alert, Further wintry showers bringing disruption from ice and snow .    # TSWeatherAlert",0.0
18,"Highland and Western Isles  -  YELLOW Weather Alert, Further wintry showers bringing disruption from ice and snow .    # TSWeatherAlert",0.0
19,shock e blm selese anjir,0.0
20,"Fugitive ' s arrest like a  ' quake, '  but Mafia very resilient ",0.0
21,"Humza Yousaf has said his Government “is investigating further”, after a shock report showed Scots are three times… ",0.0
22,4 . 4 earthquake occurred 59km al O de Tongoy at 07 : 29 UTC !   # earthquake,1.0
23,"Humza Yousaf has said his Government “is investigating further”, after a shock report showed Scots are three times… ",0.0
24,"A 2 . 7 magnitude  # earthquake occured at 24km NNW of Tehachapi, CA .  See the full report at :   ",1.0
25,We are currently investigating reports of an interruption to water supplies for customers in  # Hamilton  # ML3 .  A furt…,0.0
26,"A 4 . 8 magnitude  # earthquake occured at 159 km NW of Tobelo, Indonesia .  See the full report at : … ",1.0
27,"A 2 . 0 magnitude  # earthquake occured at 11km NNW of Cholame, CA .  See the full report at :   ",1.0
28,4 . 0 earthquake occurred near Molucca Sea at 07 : 18 UTC !   # earthquake  # MoluccaSea,1.0
29,4 . 5 earthquake occurred near Molucca Sea at 07 : 20 UTC !   # earthquake  # MoluccaSea,1.0
30," @ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying Unlike you, I am a farmer and I know that this has nothing to… ",0.0
31,"A 2 . 1 magnitude  # earthquake occured at 67 km N of Petersville, Alaska .  See the full report at : … ",1.0
32,@ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying Watch the video again and tell me with a straight face that that is an earthquake .,0.0
33,@ ShonMalore  @ MzukisiMtshelu  @ FatmiAmjad_  @ OTerrifying It will not happen the same way in the video .  The person stan…,0.0
34,"A 2 . 2 magnitude  # earthquake occured at 10km SSW of Manton, CA .  See the full report at :   ",1.0
35,"Elden Ring is sooooo hard !   ( Yeah, I know, Souls Games are hard, what a shock !  ) 

And just like BloodBourne, im just… ",0.0
36,Weather warnings for snow remains in place for many areas of northern Scotland with severe conditions causing major…,0.0
37,4 . 8 earthquake occurred near Molucca Sea at 07 : 00 UTC !   # earthquake  # MoluccaSea,1.0
38,"4 . 3 earthquake occurred 66km al SUR de  TECPAN, GRO at 06 : 34 UTC !   # earthquake ",1.0
39,4 . 3 earthquake occurred near Molucca Sea at 06 : 52 UTC !   # earthquake  # MoluccaSea,1.0
40,A 2 . 7 magnitude  # earthquake occured at Puerto Rico .  See the full report at :,1.0
41,4 . 0 earthquake occurred near Molucca Sea at 06 : 42 UTC !   # earthquake  # MoluccaSea,1.0
42,Earthquake,1.0
43,4 . 4 earthquake occurred near Molucca Sea at 06 : 33 UTC !   # earthquake  # MoluccaSea,1.0
44,4 . 2 earthquake occurred near Molucca Sea at 06 : 34 UTC !   # earthquake  # MoluccaSea,1.0
45,4 . 4 earthquake occurred near Molucca Sea at 06 : 28 UTC !   # earthquake  # MoluccaSea,1.0
46,"A 2 . 6 magnitude  # earthquake occured at 39 km SSE of Cantwell, Alaska .  See the full report at : … ",1.0
47,"M7  # EARTHQUAKE !  154 KM NW OF TOBELO, INDONESIA  
DEPTH :  47 . 994 KM AT 2023 - 0 - 3 1 : 6 : 13 . 707 UTC VIA  @ EQTW ",1.0
48,"A 7 . 0 magnitude  # earthquake occured at 154 km NW of Tobelo, Indonesia .  See the full report at : … ",1.0
49,4 . 8 earthquake occurred near Molucca Sea at 06 : 21 UTC !   # earthquake  # MoluccaSea,1.0
50,My people are going to APC and PDP rallies to collect money while the both parties re busy shouting crowd😭 deep dow…,0.0
51,"A 3 . 3 magnitude  # earthquake occured at 2 km SW of Fern Forest, Hawaii .  See the full report at : … ",1.0
52,4 . 49 earthquake close to New Zealand at 06 : 14 UTC !   # earthquake  # NewZealand,1.0
53,@ overwatchleague The SF shock c9 that sparked a lower bracket run where they 4 - 0 every team including the titans in…,0.0
54,"M7 . 2  # EARTHQUAKE !  150 KM NW OF TOBELO, INDONESIA  
DEPTH :  60 KM AT 2023 - 0 - 3 1 : 6 : 14 . 0 UTC VIA  @ EQTW ",1.0
55,"A 7 . 2 magnitude  # earthquake occured at 150 km NW of Tobelo, Indonesia .  See the full report at : … ",1.0
56," @ MsRonnyB  @ hcl2010  @ wattleiwear  @ BreakfastNews  @ AustralianLabor  @ SkyNewsAust I do not know about Zionist, although n… ",0.0
57,"M7 . 2  # EARTHQUAKE !  MOLUCCA SEA  
DEPTH :  60 . 4 KM AT 2023 - 0 - 3 1 : 6 : 15 . 0 UTC VIA  @ EQTW ",1.0
58,A 7 . 2 magnitude  # earthquake occured at Molucca Sea .  See the full report at :,1.0
59,7 . 19 earthquake occurred near Northern Molucca Sea at 06 : 06 UTC !   # earthquake  # NorthernMoluccaSea,1.0
60,@ JonahTillman6 Not a shock .  Party before profits and profits before people .  That’s the whole premise of the current GQP,0.0
61,"A 2 . 1 magnitude  # earthquake occured at 59 km WNW of Ninilchik, Alaska .  See the full report at : … ",1.0
62,Life in actual organized basketball with real referees will be difficult with these players .  Their parents will als…,0.0
63,@ buggy_con Roanoke Gaming on YouTube is an actual Biologist and has talked about the games in the past .  Especially…,0.0
64," @ Ltward2 You have to trust me, the shock will wear off with time .  .  . the amount of time though is fluid .  .  . ",0.0
65,4 . 7 earthquake occurred 13km E of Tinaga Island at 05 : 00 UTC !   # earthquake  # TinagaIsland,1.0
66,@ JaipurDialogues They have 10 years at Max .  Then we will see such a humongous dip that will shock the world .,0.0
67,"A 4 . 8 magnitude  # earthquake occured at southwestern Ryukyu Islands, Japan .  See the full report at : … ",1.0
68,"My mother taught me the love of reading .  With her help, I was born weaving words around my soul .  BUT we rarely shar… ",0.0
69,I fucking hate twitter now .  This shit is just shock videos and facebook memes,0.0
70,4 . 5 earthquake occurred 12km E of Tinaga Island at 04 : 51 UTC !   # earthquake  # TinagaIsland,1.0
71,"1 / 2 Oh Oprah what have you caused ?  You want to be the first to interview them clouded your judgment, but you Shock… ",0.0
72,ima shock Driah with this news in a few weeks 🤣,0.0
73,"A 5 . 0 magnitude  # earthquake occured at 96 km SSW of Żurrieq, Malta .  See the full report at :   ",1.0
74,The Patriots have a ton of cap space along with the 14th pick .  It wouldn’t be that much of a shock if he returned a…,0.0
75,@ averygrrl 💯 ✅…but do you add something you just finished to your To - Do just so you have something to check off rig…,0.0
76,@ themanofElohim  @ mxdondevivo go follow this guy and look at his recent earthquake researcher rt his recent post 🌊,0.0
77,"4 . 6 earthquake close to Miyakojima, Okinawa, Japan at 04 : 33 UTC !   # earthquake ",1.0
78,4 . 54 earthquake occurred near Central Mediterranean Sea at 04 : 22 UTC !   # earthquake  # CentralMediterraneanSea,1.0
79,"A 2 . 9 magnitude  # earthquake occured at 3 km S of Guánica, Puerto Rico .  See the full report at : … ",1.0
80,@ PinkCancerian Ippudu kooda shock ayyanu  .  .  meeru catch chesaru ga,0.0
81,"A 2 . 1 magnitude  # earthquake occured at 71 km WNW of Happy Valley, Alaska .  See the full report at : … ",1.0
82,Estoy en shock…,0.0
83,@ TBKirko quake is so good I love quake it is so good I bought it twice,0.0
84,Beast quake and Minnesota miracle back to back is not an accident,0.0
85,@ Asma66672108  @ nothing04040 مو المفروض اول جرعه IV iron تناخد بالمستشفى عشان لو حصل اي anaphylactic shock يلحقوها؟؟؟,0.0
86,"A 2 . 6 magnitude  # earthquake occured at 2 km W of Meadow Lakes, Alaska .  See the full report at : … ",1.0
87,I’m literally in shock !  !  Mariah Care and Christina Aguilera ?  ? 🥹🥹,0.0
88,"A 2 . 5 magnitude  # earthquake occured at 13 km WSW of Carmen, Oklahoma .  See the full report at : … ",1.0
89,"Dent is wearing his shock absorbent Nikes with that challenged layup .  

The freshman for the three - point play at the line . ",0.0
90,"4 . 2 earthquake close to Miyakojima, Okinawa, Japan at 03 : 26 UTC !   # earthquake ",1.0
91,"A 2 . 2 magnitude  # earthquake occured at 34 km ENE of Tanana, Alaska .  See the full report at :   ",1.0
92,"John Tortorella sucks ass, what a shock ! ",0.0
93,@ LAPDHQ No thin blue line and you do not even know what it stands for ?  Something is wrong with your decision making . …,0.0
94,"Siri go home you are drunk

PTJ Muay Thai trainer’s shock as 15 cops turn up after Apple Watch calls police… ",0.0
95,The downfall of man :  Chronicle XXXX  -  Today not only did I break my omad fast that I have been maintaining for weeks…,0.0
96," @ EsuranceJack  @ hunter_7s  @ JRobertJohnson4  @ ksorbs Cause there are regulations in place . 
Federal background check .  ( f… ",0.0
97," @ 517to214 But today it was a “shock” that dallas pulled it off  &  now it’s “Tampa was a bad team . ”
Yesterday it was… ",0.0
98,WHY do humans have funny bones ?  ?  Can’t the elbow just respond to pain like everywhere else ?  ?  That shock of pain is so unnecessary !  !,0.0
99,"A 4 . 2 magnitude  # earthquake occured at 5 km S of Santa Bárbara, Guatemala .  See the full report at : … ",1.0
100,"4 . 2 earthquake occurred 5km S of Santa Bárbara, Guatemala at 02 : 20 UTC !   # earthquake  # SantaBárbara ",1.0
101,MASH with another mid range jumper  ( Pretend shock )   # GoLobos,0.0
102,"Pivoting is not the end of the disruption process, but the beginning of the next leg of your journey . ― Jay Samit, ",0.0
103,"I ran across a Twitter kerfuffle regarding whether preachers should be funny, or employ humor at all .  A defense  ( an… ",0.0
104,And I’m eating healthy lol my body is gonna go into shock 🙃,0.0
105,"A 2 . 1 magnitude  # earthquake occured at 1 km NW of Cole, Oklahoma .  See the full report at :   ",1.0
106," @ Stevehastweeted My not quite BiL was expressing shock at my Bruce love  &  I was like ""I went to see him perform the… ",0.0
107," @ PropCazhPM That was surprising .  I can only assume they were in shock .  But once that passed, they should have acted… ",0.0
108,@ pwniR3birth  @ pabloknight10  @ chef___DU Are you looking for a soft yolk or hard yolk ?  If looking for a Japanese styl…,0.0
109,@ RobertJohn1427  @ StrawStephen  @ scrowder He’s been upfront .  They already know that his YouTube is not making money . …,0.0
110,"Widespread biological disruption for  # frogs caused by lethal  # pathogen but responses differ by species  .  .  .  

 | … ",0.0
111,@ JoeStief  @ Bubola Dude going to be in for a shock but he will still hit it,0.0
112,"A 2 . 2 magnitude  # earthquake occured at 2 km SE of Indios, Puerto Rico .  See the full report at : … ",1.0
113,How the actual fuck .  They just posted this !  !  !  In shock .,0.0
114,"In complete shock, Jay was one of those wrestlers that was effortlessly intimidating and put on great matches that… ",0.0
115,@ Gamergirl_Monty right on my friend !  if you do be careful with the sun dont get burnt to bad .  careful with cold sho…,0.0
116,"I am absolutely gutted, in shock, and heartbroken . 

He was always such a genuine human being to me when I was aroun… ",0.0
117,@ spookydaydreams  @ keffals shock and awe 😐,0.0
118,"I am absolutely gutted, in shock, and heartbroken . … ",0.0
119,@ Invisible_niqqa Dei enada night fulla boomer thongalaya pola after rachu gave the shock 🤡🤡😂😂😂😂,0.0
120,"I am hearing a lot of kerfuffle about ""wokeness"" from the far right globally but what l really hear is a ducks in a… ",0.0
121,@ aacole42 I feel a disturbance in the force,0.0
122,I’m in shock .   RIP Jay Briscoe,0.0
123,"A 4 . 6 magnitude  # earthquake occured at 34 km NE of Mercedes, Philippines .  See the full report at : … ",1.0
124,"Monna movie ki  vellam . 

Maa friend gadu inti daggara nunchi samosas and puffs techadu  .  .  nenu shock .   

Marchipoyy… ",0.0
125,@ millenialfem  @ to_flutter Ohh the lucky caller 🥰 I love the sultry lips,0.0
126,"4 . 1 earthquake occurred near Luzon, Philippines at 00 : 56 UTC !   # earthquake  # Luzon ",1.0
127,"The next cold front moves through early Wednesday, bringing some showers and storms .  Cooler air slowly returns to e… ",0.0
128,"I need to move somewhere that meets all these conditions :  
✅ summers aren’t too hot
✅ winters aren’t too cold
✅ no… ",0.0
129,@ marscandybars_  @ GFuelEnergy I don’t have a shock sticker 😕 I tried,0.0
130,"A 6 . 1 magnitude  # earthquake occured at 65 km SSE of Gorontalo, Indonesia .  See the full report at : … ",1.0
131,@ georgebsocial  @ TimSweeneyEpic Was given a free copy of Quake that night  ( a week before retail launch )  so I went to…,0.0
132,"Into my life, I did not like an E or disturbance of you . ",0.0
133,@ RonFilipkowski That seems worthy of a civil disturbance violation .,0.0
134,"6 . 3 earthquake occurred near Sulawesi, Indonesia at 00 : 34 UTC !   # earthquake  # Sulawesi ",1.0
135,"UPDATE :  Fugitive ' s arrest like a  ' quake, '  but Mafia very resilient ",0.0
136,A 4 . 1 magnitude  # earthquake occured at off the coast of Central America .  See the full report at : …,1.0
137,"4 . 1 earthquake occurred 57km SW of Jiquilisco, El Salvador at 00 : 20 UTC !   # earthquake  # Jiquilisco ",1.0
138,@ georgebsocial  @ TimSweeneyEpic I’ve had computers since the Trash80 and Timex Sinclair .  But I purchased my first PC…,0.0
139,"A 2 . 8 magnitude  # earthquake occured at 6 km E of Hennessey, Oklahoma .  See the full report at : … ",1.0
140,This was the biggest sticker shock I had on a recent grocery shopping trip .,0.0
141,@ UltraXBT Or an earthquake happens and your fucked and lost at sea lol .,0.0
142," @ jen_wrightcr Whoa, that price could shock the heart .  More like Seizure Salad",0.0
143,"Patients miserable with chest syndromes, effort intolerance, neuropathic dysesthesia / pain, sleep disturbance .   Bloo… ",0.0
144,"A 2 . 2 magnitude  # earthquake occured at 5 km WNW of Purcell, Oklahoma .  See the full report at : … ",1.0
145,@ KevinWMunk  @ MikeTaylorShow  @ biggestpuma I would be more shock if it was not .  a shit show .,0.0
146,"Testing out a bunch of workout apps over the next few months . 

Setting a calendar reminder in April to test out… ",0.0
147,@ AidanCeitic Dinnae man .  I get a flutter every time I see that shot,0.0
148,@ muffinsAKA My brother I will gently remind you of quake before you allow this to go on any further,0.0
149,@ JamesGunn  @ DCComics Will you  &  DC ever do anything with Static Shock in live action ?  ?,0.0
150,Our Deeds are the Reason of this  # earthquake May ALLAH Forgive us all,0.0
151,I am in utter shock and devastation you do not go to work to be left feeling how I do now .  Life really is too short  ?  ?,0.0
152,@ ssssnell yeah I agree but it is the shock factor that ropes people in if they just show devastation then it angers me,0.0
153,1 . 43 earthquake occurred near Mount St .  Helens area Washington at 09 : 36 UTC !   # earthquake,1.0
154,Contruction upgrading ferries to earthquake standards in Vashon Mukilteo  -  Q13 FOX   # EarthquakeNews,0.0
155,# 3Novices  :  Renison mine sees seismic event  A small earthquake at Tasmania ' s Renison tin project has created a tem,0.0
156,1 . 9 earthquake occurred 15km E of Anchorage Alaska at 00 : 11 UTC !   # earthquake  # Anchorage,1.0
157,# SCSeEstaPreparando Light mag .  4 . 4 earthquake   -   -  73km SW of Khuzdar Pakistan on Wednes .  .  .   via  @ volcanodiscover,1.0
158,Nepal earthquake 3 months on :  Women fear abuse  via  @  @ loupascale,0.0
159,USGS reports a M1 . 94  # earthquake 5km S of Volcano Hawaii on 8 / 6 / 15  @  1 : 04 : 01 UTC   # quake,1.0
160,GNS sees unnecessary deaths resulting from earthquake strengthening legislation   (  $  ),0.0
161, There was a small earthquake in LA but do not worry Emily Rossum is fine '   # difficultpeople is great,0.0
162,Contruction upgrading ferries to earthquake standards in Vashon Mukilteo :  The upgrades will bring the vulnera .  .  .,0.0
163,earthquake drill atm,0.0
164,# earthquake  ( EMSC )  :  MD 2 . 9 OFF COAST OF NORTHERN CALIFORNIA  G,1.0
165, There was a small earthquake in LA but do not worry Emmy Rossum is fine ',0.0
166,Scared to be living in Seattle when this predicted earthquake is going to destroy  ?  ?  ?  ?,0.0
167,Rescuers find survivors of Nepal earthquake buried  .  .  .,0.0
168,The 08 / 06 / 2015 AlabamaQuake seismic summary with  # earthquake  # news  &  history,0.0
169,Meet Brinco your own personal earthquake snd tsunami early warning beacon .,0.0
170,1 . 94 earthquake occurred 5km S of Volcano Hawaii at 01 : 04 UTC !   # earthquake  # Volcano,1.0
171,USGS reports a M1 . 94  # earthquake 5km S of Volcano Hawaii on 8 / 6 / 15  @  1 : 04 : 01 UTC   # quake,1.0
172,Forest fire near La Ronge Sask .  Canada,0.0
173,All residents asked to  ' shelter in place '  are being notified by officers .  No other evacuation or shelter in place orders are expected,0.0
174,"13,000 people receive  # wildfires evacuation orders in California ",0.0
175,Just got sent this photo from Ruby  # Alaska as smoke from  # wildfires pours into a school ,0.0
176, # Rocky Fire Update  =  >  California Hwy .  20 closed in both directions due to Lake County fire  -   # CAfire  # wildfires,0.0
177," # flood  # disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",0.0
178,I am on top of the hill and I can see a fire in the woods .  .  . ,0.0
179,There is an emergency evacuation happening now in the building across the street,0.0
